# R Rmin Rmax wp wp_err
3.604203670480238486e+00 3.000000000000000000e+00 4.147043556520549679e+00 1.122324156552362950e+02 1.884223685289729033e+01
4.982263202684261039e+00 4.147043556520549679e+00 5.732656753226201829e+00 8.226686840913434651e+01 1.204784500478433529e+01
6.887220837193734013e+00 5.732656753226201829e+00 7.924525750070245067e+00 6.147763793724091386e+01 9.989260457367688417e+00
9.520534931739447870e+00 7.924525750070245067e+00 1.095445115010332593e+01 4.815239835971998872e+01 7.607705229030258032e+00
1.316069101443295786e+01 1.095445115010332593e+01 1.514286201908503671e+01 3.059189205543447798e+01 8.468139866691425155e+00
1.819265295692069273e+01 1.514286201908503671e+01 2.093270278784211769e+01 2.742014333163385231e+01 6.713604341200100301e+00
2.514857474033750151e+01 2.093270278784211769e+01 2.893627673896012809e+01 1.518920275980205759e+01 5.107634726971459926e+00
3.476407827753067892e+01 2.893627673896012809e+01 4.000000000000001421e+01 7.631450361320620601e+00 4.925147576600267030e+00
