# R Rmin Rmax wp wp_err
3.604203670480238486e+00 3.000000000000000000e+00 4.147043556520549679e+00 6.937953622821272859e+01 7.887466662666880346e+00
4.982263202684261039e+00 4.147043556520549679e+00 5.732656753226201829e+00 4.366295567776082720e+01 5.313443306345515538e+00
6.887220837193734013e+00 5.732656753226201829e+00 7.924525750070245067e+00 3.286400710054888918e+01 4.900775875784020741e+00
9.520534931739447870e+00 7.924525750070245067e+00 1.095445115010332593e+01 2.789962495496436645e+01 3.425021716769751201e+00
1.316069101443295786e+01 1.095445115010332593e+01 1.514286201908503671e+01 2.038789488563219265e+01 2.834450287250819489e+00
1.819265295692069273e+01 1.514286201908503671e+01 2.093270278784211769e+01 1.628362245039129164e+01 2.694656578703707783e+00
2.514857474033750151e+01 2.093270278784211769e+01 2.893627673896012809e+01 1.059401958668842347e+01 2.049047827543835076e+00
3.476407827753067892e+01 2.893627673896012809e+01 4.000000000000001421e+01 6.336123633000451782e+00 1.733778122817766443e+00
