# R Rmin Rmax wp wp_err
3.604203670480238486e+00 3.000000000000000000e+00 4.147043556520549679e+00 9.172605391395805441e+01 8.476621046367327494e+00
4.982263202684261039e+00 4.147043556520549679e+00 5.732656753226201829e+00 8.261037394357791186e+01 6.285647348593855988e+00
6.887220837193734013e+00 5.732656753226201829e+00 7.924525750070245067e+00 6.276705081053358981e+01 5.063928644631713105e+00
9.520534931739447870e+00 7.924525750070245067e+00 1.095445115010332593e+01 4.064364217598561169e+01 3.881574095747656550e+00
1.316069101443295786e+01 1.095445115010332593e+01 1.514286201908503671e+01 2.944499978374002680e+01 3.345946299289689563e+00
1.819265295692069273e+01 1.514286201908503671e+01 2.093270278784211769e+01 2.264922105407213593e+01 3.089165046927266012e+00
2.514857474033750151e+01 2.093270278784211769e+01 2.893627673896012809e+01 1.853516026059556765e+01 2.638068355221359962e+00
3.476407827753067892e+01 2.893627673896012809e+01 4.000000000000001421e+01 1.279275531774875141e+01 2.547123173183357459e+00
