# R Rmin Rmax wp wp_err
3.604203670480238486e+00 3.000000000000000000e+00 4.147043556520549679e+00 7.749076719658073387e+01 1.254308187437363387e+01
4.982263202684261039e+00 4.147043556520549679e+00 5.732656753226201829e+00 4.710599250051385667e+01 1.190007416886557756e+01
6.887220837193734013e+00 5.732656753226201829e+00 7.924525750070245067e+00 3.539132280326433033e+01 1.152336350381119168e+01
9.520534931739447870e+00 7.924525750070245067e+00 1.095445115010332593e+01 2.261431990417234061e+01 6.821488212007303709e+00
1.316069101443295786e+01 1.095445115010332593e+01 1.514286201908503671e+01 2.100027557462900063e+01 6.641261677047801015e+00
1.819265295692069273e+01 1.514286201908503671e+01 2.093270278784211769e+01 1.309331684852900324e+01 5.561302333914175833e+00
2.514857474033750151e+01 2.093270278784211769e+01 2.893627673896012809e+01 8.540764104511106680e+00 3.378012997366628412e+00
3.476407827753067892e+01 2.893627673896012809e+01 4.000000000000001421e+01 3.890043231933277834e+00 3.163844198665453522e+00
