# R Rmin Rmax wp wp_err
3.604203670480238486e+00 3.000000000000000000e+00 4.147043556520549679e+00 5.941578794444058786e+01 9.223122745243557574e+00
4.982263202684261039e+00 4.147043556520549679e+00 5.732656753226201829e+00 4.411217446867086522e+01 5.671019165336551815e+00
6.887220837193734013e+00 5.732656753226201829e+00 7.924525750070245067e+00 3.336587643592998376e+01 5.341897062801309382e+00
9.520534931739447870e+00 7.924525750070245067e+00 1.095445115010332593e+01 3.038565588592741307e+01 3.986656214840063495e+00
1.316069101443295786e+01 1.095445115010332593e+01 1.514286201908503671e+01 2.101520586504226173e+01 3.030069979340895170e+00
1.819265295692069273e+01 1.514286201908503671e+01 2.093270278784211769e+01 1.822082685337291608e+01 3.096688187370144618e+00
2.514857474033750151e+01 2.093270278784211769e+01 2.893627673896012809e+01 1.154161593462383806e+01 2.436182030415396937e+00
3.476407827753067892e+01 2.893627673896012809e+01 4.000000000000001421e+01 7.815027608741781151e+00 2.034534710869330354e+00
