# R Rmin Rmax wp wp_err
3.604203670480238486e+00 3.000000000000000000e+00 4.147043556520549679e+00 8.124095194366678641e+01 9.293168393296088681e+00
4.982263202684261039e+00 4.147043556520549679e+00 5.732656753226201829e+00 8.319967024225604746e+01 7.333936861122792195e+00
6.887220837193734013e+00 5.732656753226201829e+00 7.924525750070245067e+00 5.745324957921011588e+01 6.033512856489764431e+00
9.520534931739447870e+00 7.924525750070245067e+00 1.095445115010332593e+01 3.702190689783227384e+01 4.475570583522819668e+00
1.316069101443295786e+01 1.095445115010332593e+01 1.514286201908503671e+01 2.746415484442510291e+01 3.473725612147790631e+00
1.819265295692069273e+01 1.514286201908503671e+01 2.093270278784211769e+01 2.167759754778896308e+01 3.548483140535702685e+00
2.514857474033750151e+01 2.093270278784211769e+01 2.893627673896012809e+01 1.699746913085852640e+01 2.814663214268168456e+00
3.476407827753067892e+01 2.893627673896012809e+01 4.000000000000001421e+01 1.311354559189558344e+01 2.842538691609878487e+00
